Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
SODIUM HYALURONATE,https://www.drugs.com/dosage/sodium-hyaluronate.html,Osteoarthritis |,,,,[Adult] Osteoarthritis |
FULVESTRANT,https://www.drugs.com/dosage/fulvestrant.html,Breast Cancer |,,,,[Adult] Breast Cancer |
RIBAVIRIN,https://www.drugs.com/dosage/ribavirin.html,Chronic Hepatitis C | Respiratory Syncytial Virus,Respiratory Syncytial Virus | Chronic Hepatitis C |,,,[Adult] Chronic Hepatitis C | Respiratory Syncytial Virus // [Pediatric] Respiratory Syncytial Virus | Chronic Hepatitis C |
DULOXETINE,https://www.drugs.com/dosage/duloxetine.html,Depression | Fibromyalgia | Generalized Anxiety Disorder | Pain | Neuropathic Pain | Chronic Pain,Generalized Anxiety Disorder | Fibromyalgia |,,,[Adult] Depression | Fibromyalgia | Generalized Anxiety Disorder | Pain | Neuropathic Pain | Chronic Pain // [Pediatric] Generalized Anxiety Disorder | Fibromyalgia |
OLAPARIB,https://www.drugs.com/dosage/olaparib.html,Breast Cancer | Prostate Cancer | Ovarian Cancer | Pancreatic Cancer | Fallopian Tube Cancer | Peritoneal Cancer |,,,,[Adult] Breast Cancer | Prostate Cancer | Ovarian Cancer | Pancreatic Cancer | Fallopian Tube Cancer | Peritoneal Cancer |
ABATACEPT,https://www.drugs.com/dosage/abatacept.html,Rheumatoid Arthritis | Psoriatic Arthritis | Graft Versus Host Disease - Prophylaxis,Juvenile Idiopathic Arthritis | Psoriatic Arthritis | Graft Versus Host Disease - Prophylaxis |,,,[Adult] Rheumatoid Arthritis | Psoriatic Arthritis | Graft Versus Host Disease - Prophylaxis // [Pediatric] Juvenile Idiopathic Arthritis | Psoriatic Arthritis | Graft Versus Host Disease - Prophylaxis |
CEFPODOXIME,https://www.drugs.com/dosage/cefpodoxime.html,Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Pneumonia | Pyelonephritis | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Upper Respiratory Tract Infection,Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Otitis Media | Pneumonia | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis |,,,[Adult] Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Pneumonia | Pyelonephritis | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Upper Respiratory Tract Infection // [Pediatric] Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Gonococcal Infection - Disseminated | Otitis Media | Pneumonia | Sinusitis | Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis |
LEFLUNOMIDE,https://www.drugs.com/dosage/leflunomide.html,Rheumatoid Arthritis |,,,,[Adult] Rheumatoid Arthritis |
OSELTAMIVIR,https://www.drugs.com/dosage/oseltamivir.html,Influenza | Influenza Prophylaxis,Influenza | Influenza Prophylaxis |,,,[Adult] Influenza | Influenza Prophylaxis // [Pediatric] Influenza | Influenza Prophylaxis |
MILRINONE,https://www.drugs.com/dosage/milrinone.html,Congestive Heart Failure,Congestive Heart Failure |,,,[Adult] Congestive Heart Failure // [Pediatric] Congestive Heart Failure |
