Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose
SODIUM HYALURONATE,https://www.drugs.com/dosage/sodium-hyaluronate.html,"for:




Osteoarthritis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
FULVESTRANT,https://www.drugs.com/dosage/fulvestrant.html,"for:




Breast Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
RIBAVIRIN,https://www.drugs.com/dosage/ribavirin.html,"for:




Chronic Hepatitis C


Respiratory Syncytial Virus","for:




Respiratory Syncytial Virus


Chronic Hepatitis C




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
DULOXETINE,https://www.drugs.com/dosage/duloxetine.html,"for:




Depression


Fibromyalgia


Generalized Anxiety Disorder


Pain


Neuropathic Pain


Chronic Pain","for:




Generalized Anxiety Disorder


Fibromyalgia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
OLAPARIB,https://www.drugs.com/dosage/olaparib.html,"for:




Breast Cancer


Prostate Cancer


Ovarian Cancer


Pancreatic Cancer


Fallopian Tube Cancer


Peritoneal Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
ABATACEPT,https://www.drugs.com/dosage/abatacept.html,"for:




Rheumatoid Arthritis


Psoriatic Arthritis


Graft Versus Host Disease - Prophylaxis","for:




Juvenile Idiopathic Arthritis


Psoriatic Arthritis


Graft Versus Host Disease - Prophylaxis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
CEFPODOXIME,https://www.drugs.com/dosage/cefpodoxime.html,"for:




Bronchitis


Cystitis


Gonococcal Infection - Uncomplicated


Gonococcal Infection - Disseminated


Pneumonia


Pyelonephritis


Sinusitis


Skin or Soft Tissue Infection


Tonsillitis/Pharyngitis


Upper Respiratory Tract Infection","for:




Bronchitis


Cystitis


Gonococcal Infection - Uncomplicated


Gonococcal Infection - Disseminated


Otitis Media


Pneumonia


Sinusitis


Skin or Soft Tissue Infection


Tonsillitis/Pharyngitis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
LEFLUNOMIDE,https://www.drugs.com/dosage/leflunomide.html,"for:




Rheumatoid Arthritis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
OSELTAMIVIR,https://www.drugs.com/dosage/oseltamivir.html,"for:




Influenza


Influenza Prophylaxis","for:




Influenza


Influenza Prophylaxis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
MILRINONE,https://www.drugs.com/dosage/milrinone.html,"for:




Congestive Heart Failure","for:




Congestive Heart Failure




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
IMIGLUCERASE,https://www.drugs.com/dosage/imiglucerase.html,"for:




Gaucher Disease","for:




Gaucher Disease




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
ZIDOVUDINE,https://www.drugs.com/dosage/zidovudine.html,"for:




HIV Infection


Reduction of Perinatal Transmission of HIV


Nonoccupational Exposure


Occupational Exposure","for:




HIV Infection


Reduction of Perinatal Transmission of HIV


Nonoccupational Exposure








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
ERDAFITINIB,https://www.drugs.com/dosage/erdafitinib.html,"for:




Urothelial Carcinoma




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
SUMATRIPTAN,https://www.drugs.com/dosage/sumatriptan.html,"for:




Migraine


Cluster Headache




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
VEDOLIZUMAB,https://www.drugs.com/dosage/vedolizumab.html,"for:




Crohn's Disease - Maintenance


Ulcerative Colitis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
PREDNISOLONE,https://www.drugs.com/dosage/prednisolone.html,"for:




Multiple Sclerosis


Immunosuppression


Ankylosing Spondylitis


Neoplastic Diseases


Rheumatic Heart Disease


Adrenocortical Insufficiency


Corneal Ulcers


Keratitis


Pemphigus


Mycosis Fungoides


Psoriatic Arthritis


Epicondylitis


Iridocyclitis


Chorioretinitis


Choroiditis


Berylliosis


Synovitis


Thrombocythemia


Stevens-Johnson Syndrome


Serum Sickness


Erythema Multiforme


Hemolytic Anemia


Anti-inflammatory


Allergic Reaction


Aspiration Pneumonia


Bursitis


Dermatitis Herpetiformis


Hypercalcemia of Malignancy


Idiopathic (Immune) Thrombocytopenic Purpura


Loeffler's Syndrome


Osteoarthritis


Polymyositis/Dermatomyositis


Psoriasis


Rheumatoid Arthritis


Sarcoidosis


Seborrheic Dermatitis


Systemic Lupus Erythematosus


Ulcerative Colitis - Active


Uveitis


Iritis


Optic Neuritis


Gouty Arthritis


Nephrotic Syndrome


Asthma - Acute


Asthma - Maintenance","for:




Iridocyclitis


Adrenocortical Insufficiency


Corneal Ulcers


Keratitis


Pemphigus


Mycosis Fungoides


Juvenile Rheumatoid Arthritis


Psoriatic Arthritis


Epicondylitis


Dermatitis Herpetiformis


Choroiditis


Synovitis


Thrombocythemia


Stevens-Johnson Syndrome


Serum Sickness


Aspiration Pneumonia


Allergic Reaction


Immunosuppression


Bursitis


Hypercalcemia of Malignancy


Loeffler's Syndrome


Osteoarthritis


Polymyositis/Dermatomyositis


Psoriasis


Sarcoidosis


Seborrheic Dermatitis


Systemic Lupus Erythematosus


Ulcerative Colitis - Active


Uveitis


Iritis


Optic Neuritis


Hemolytic Anemia


Neoplastic Diseases


Asthma - Acute


Nephrotic Syndrome








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
ISATUXIMAB,https://www.drugs.com/dosage/isatuximab.html,"for:




Multiple Myeloma",,,
CANAGLIFLOZIN,https://www.drugs.com/dosage/canagliflozin.html,"for:




Diabetes Type 2


Cardiovascular Risk Reduction




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
CARVEDILOL,https://www.drugs.com/dosage/carvedilol.html,"for:




Congestive Heart Failure


Left Ventricular Dysfunction


Hypertension




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
IOVERSOL,https://www.drugs.com/dosage/ioversol.html,"for:




Cerebral Arteriography


Peripheral Arteriography


Visceral Arteriography


Renal Arteriography


Coronary Arteriography


Left Ventriculography


Intra-arterial Digital Subtraction Angiography


Venography


Head Imaging


Body Imaging


Intravenous Digital Subtraction Angiography


Intravenous Urography","for:




Pediatric Angiocardiography


Head Imaging


Body Imaging


Intravenous Urography




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
CILOSTAZOL,https://www.drugs.com/dosage/cilostazol.html,"for:




Intermittent Claudication




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
ARIPIPRAZOLE,https://www.drugs.com/dosage/aripiprazole.html,"for:




Schizophrenia


Bipolar Disorder


Agitated State


Depression","for:




Schizophrenia


Bipolar Disorder


Autism


Tourette's Syndrome








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
POSACONAZOLE,https://www.drugs.com/dosage/posaconazole.html,"for:




Aspergillosis - Invasive


Candidemia


Oral Thrush","for:




Aspergillosis - Invasive


Candidemia


Oral Thrush




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
SORBITOL,https://www.drugs.com/dosage/sorbitol.html,"for:




Constipation","for:




Constipation




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis",,
PALBOCICLIB,https://www.drugs.com/dosage/palbociclib.html,"for:




Breast Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
TROSPIUM,https://www.drugs.com/dosage/trospium.html,"for:




Urinary Incontinence


Urinary Frequency",,,
OBINUTUZUMAB,https://www.drugs.com/dosage/obinutuzumab.html,"for:




Chronic Lymphocytic Leukemia


Follicular Lymphoma




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
