Original Name,Search Term
ORTHOVISC 15MG-ML SOLU FOR I-A Injection*,ORTHOVISC
ORS New (50 SACHET),ORS
ORENCIA 250MG POWDER FOR SOLUTION FOR INFUSION,ORENCIA
ORELOX 100MG TABLETS,ORELOX
OSELTA 75MG CAPSULES,OSELTA
OSPEN 500,OSPEN
ORATAB 100MG F.C. TABLETS,ORATAB
OPTIPRED 1% OPTHALMIC SUSP.,OPTIPRED
OPTIMOL 0.5% OPHTHALMIC SOLUTION,OPTIMOL
OPTIRAY 300MG-ML SOLUTION FOR IV. Injection,OPTIRAY
ORALITE 28GM SACHETS,ORALITE
OPTIZOLIN OPTHALMIC SOLUTION,OPTIZOLIN
OPTILONE 0.1% OPTHALMIC SUSPENTION,OPTILONE
PANDA EXTRA CAPLETS,PANDA
PANADREX 500 MG TAB,PANADREX
PANADOL SOLUBLE 500MG TAB,PANADOL
PANTOZOL 40MG TAB,PANTOZOL
PANTOVER 40MG E.C. TABLETS,PANTOVER
PANTOMAX 40MG E.C.TABLETS,PANTOMAX
PANTOLOC 40MG TABLETS,PANTOLOC
RIAPANTA 40 mg E.C. tablet,RIAPANTA
OTOCOL EAR DROPS,OTOCOL
OVITRELLE 250MCG-0.5ML PRE-FILLED SYRING,OVITRELLE
OTRIVIN NASAL DROPS 0.1%,OTRIVIN
OTOZOL 1% EAR DROP,OTOZOL
OXALIPLATIN MEDAC 100MG POWDER,OXALIPLATIN
PALETA 75mg film-coated tablets,PALETA
PABAL RTS 100 mcg/ml Solution for Injection,PABAL
OXIMAL 7.5MG TABLETS,OXIMAL
OXICLAV 625MG F.C.TABLETS,OXICLAV
OXETINE 20MG F.C. TABLETS,OXETINE
PARAFON,PARAFON
OPTIFUCIN 1% EYE DROP,OPTIFUCIN
OPTIFLOX OPTHALMIC SOLUTION,OPTIFLOX
OGLITON 15 MG Tablet,OGLITON
OFLOX 0.3% EYE DROPS,OFLOX
OFLAM 50MG GRANULES FOR ORAL SOLUTION,OFLAM
OFLACIN 200MG TAB,OFLACIN
OEDEMAX,OEDEMAX
OCURED,OCURED
OCUMOL 0.5%,OCUMOL
OCULAC,OCULAC
OCUGESIC,OCUGESIC
OCTANINE F 500 IU,OCTANINE
OLAZINE 10MG FILM COATED TABLETS,OLAZINE
OLOPAT 0.1% OPHTHALMIC SOLUTION,OLOPAT
OLMETEC PLUS 40MG-25MG F.C. TABLETS,OLMETEC
OLFEN-75,OLFEN
OCTANATE 500IU VIAL,OCTANATE
NOVONORM 2MG TABLET,NOVONORM
NOVOMIX 50 FLEXPEN,NOVOMIX
NOVIRAX CREAM 15 GM,NOVIRAX
NO-URIC TAB 300MG,NOURIC
NOVORAPID FLEXPEN 100U\ML,NOVORAPID
NOVOSEVEN 1MG POWDER FOR SOLUTION FOR INJECTION,NOVOSEVEN
OCTAGAM 1GM-20ML I.V,OCTAGAM
OCTACAINE 100 CARTRIDGE,OCTACAINE
NUVARING VAGINAL RING,NUVARING
NUROFEN 200MG TAB,NUROFEN
OPTIFRESH OPTHALMIC SOLUTION,OPTIFRESH
OMACE 10MG TABLETS,OMACE
OMNITROPE 6.7 MG/ML Solution for injection in cartridge,OMNITROPE
OMNISCAN,OMNISCAN
OMNIPAQUE 350MG/ML SOLUTION FOR INJECTION,OMNIPAQUE
OMOL 120MG\5ML SYRUP,OMOL
ONE-ALPHA CAPS 1.0 MICROGM,ONEALPHA
OPTIDRIN EYE DROP,OPTIDRIN
OPTIDEX-T STERILE OPHTALMIC SUSP,OPTIDEXT
OPTICYCLIN 1 % OINTMENT,OPTICYCLIN
OPTICIN 0.3% EYE DROPS,OPTICIN
OPTICHLOR 0.5% OPTHALMIC DROP,OPTICHLOR
OPRAZOLE 40MG- VIAL I.VI INFUSION,OPRAZOLE
OPIZOLE-B CREAM,OPIZOLEB
OPIZOLE 1% CREAM,OPIZOLE
OMCET 5MG-5ML SYRUP,OMCET
OMATHROCIN 250 MG TABLET,OMATHROCIN
OMAFEN 400 MG F.C TABLETS,OMAFEN
OMIPURE 1000 MG SOFT GELATIN CAPSULES,OMIPURE
OMACIP 500MG TABLETS,OMACIP
OMACILLIN 500MG CAPSULES,OMACILLIN
OMACID CHEWABLE TABLETS,OMACID
OMERAL 10 mg capsule,OMERAL
OMFORMIN 500MG F.C. TABLETS,OMFORMIN
OMIZ 10MG CAP,OMIZ
OMNICEF 125MG-5ML SUSP,OMNICEF
OMNIC OCAS 0.4 MG F-C TABLETS,OMNIC
PARAMOL SYRUP 120MG-5ML,PARAMOL
PARAXONE CAPSULE,PARAXONE
PROLIA 60MG/ML SOLUTION FOR INJECTION,PROLIA
PROKININ 5MG-5ML SUSPENSION,PROKININ
PROHAIR 1 mg film-coated tablet,PROHAIR
PROGRAF 1 mg capsule,PROGRAF
PROFILAR 1MG/5ML SYRUP,PROFILAR
PROF Cold & Flu Film coated tablet,PROF
PROMAX 0.05% OINTMENT,PROMAX
PROMETIN 5MG\5ML SYRUP,PROMETIN
PROSTIN VR AMP,PROSTIN
PROSTA TAB,PROSTA
PROPOFOL-LIPURO1% INJ OR INF AMPOULE,PROPOFOLLIPURO
PROPESS 10MG VAGINAL DELIVERY SYSTEM,PROPESS
PROPECIA,PROPECIA
PROSNORM,PROSNORM
PROSULF 10MG/ML SOLUTION FOR INJECTION,PROSULF
PROCTO GLYVENOL,PROCTO
PREXAL 10MG FILM COATED TABLETS,PREXAL
PREX 75MG CAPSULE,PREX
PRETERAX ARGININE 2.5MG-0.625MG F.C. TAB,PRETERAX
PRILA 5% CREAM,PRILA
PRIMOLUT N TAB 5 MG,PRIMOLUT
PRIMOVIST 0.25MMOL-ML PRE-FILLED SYRINGS,PRIMOVIST
PROCORALAN 7.5 MG F-C TABLET,PROCORALAN
